,TITLE,AUTHOR,PAGES,RATING,REVIEWERS,PLACE (COUNTRY),ORIGINAL YEAR,AWARDS,SERIES,GENRES,URL LINKS
420,A Fine Balance,Rohinton Mistry,603,4.35,138630,India,1975,"Booker Prize Nominee (1996), Winifred Holtby Memorial Prize (1996), Scotiabank Giller Prize (1995), Los Angeles Times Book Prize for Fiction (1996), Commonwealth Writers' Prize for Best Book Overall (1996)   CBC Canada Reads Nominee (2002), International Dublin Literary Award Nominee for Shortlist (1997)",0,"Fiction, Cultural > India, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/5211.A_Fine_Balance
421,Midnight in the Garden of Good and Evil,John Berendt,386,3.92,244643,United States,1994,"Pulitzer Prize Nominee for General Nonfiction (1995), Exclusive Books Boeke Prize (1995), Ferro-Grumley Award for Gay Fiction (Non-Fiction) (1994), Lambda Literary Award for Gay Men's Mystery (1995)",0,"Nonfiction, Crime > True Crime, Mystery, ",https://www.goodreads.com/book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil
422,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,139,3.83,458306,United Kingdom,1886,Independent Publisher Book Award (IPPY) for Audio Fiction - Abridged (1999),0,None,https://www.goodreads.com/book/show/51496.Dr_Jekyll_and_Mr_Hyde
423,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,370,4.14,403031,None,1997,None,None,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/41637836-the-subtle-knife
424,The Remains of the Day,Kazuo Ishiguro,258,4.14,240178,United Kingdom,1989,Booker Prize (1989),0,"Fiction, Historical > Historical Fiction, Classics, ",https://www.goodreads.com/book/show/28921.The_Remains_of_the_Day
425,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,597,4.54,324594,Italy,2013,Goodreads Choice Award for Middle Grade & Children's (2013),1,"Fantasy, Fantasy > Mythology, Young Adult, ",https://www.goodreads.com/book/show/12127810-the-house-of-hades
426,A Streetcar Named Desire,Tennessee Williams,107,3.98,280957,United States,1947,"Pulitzer Prize for Drama (1948), New York Drama Critics' Circle Award for Best American Play (1948)",0,"Plays, Classics, Fiction, ",https://www.goodreads.com/book/show/12220.A_Streetcar_Named_Desire
427,Death of a Salesman,Arthur  Miller,117,3.55,205195,United States,1949,None,None,"Plays, Classics, Fiction, ",https://www.goodreads.com/book/show/12898.Death_of_a_Salesman
428,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,418,3.99,346129,Czech Republic,2011,"Locus Award Nominee for Best Young Adult Novel (2012), Audie Award for Fantasy (2012), Rhode Island Teen Book Award Nominee (2013), Milwaukee County Teen Book Award Nominee (2013), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012)   The Inky Awards Nominee for Silver Inky (2012), California Young Readers Medal Nominee for Young Adult (2015), Oregon Spirit Book Award for Young Adult (2011), Lincoln Award Nominee (2014), Andre Norton Award Nominee (2011), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book (2011), The Inky Awards Shortlist for Silver Inky (2012), Missouri Gateway Readers Award Nominee (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)",1,"Fantasy, Young Adult, Romance, ",https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
429,"Hopeless (Hopeless, #1)",Colleen Hoover,410,4.28,321252,None,2012,No Award,1,"Romance, New Adult, Young Adult, ",https://www.goodreads.com/book/show/15717943-hopeless
430,"Evermore (The Immortals, #1)",Alyson Noel,301,3.59,280720,United States,2009,"Lincoln Award Nominee (2011), Goodreads Choice Award Nominee for Favorite Book & Young Adult Series (2009)",1,"Young Adult, Fantasy, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/3975774-evermore
431,The Prince,NiccolÇý Machiavelli,140,3.83,290850,None,1532,National Book Award Finalist for Translation (1978),0,None,https://www.goodreads.com/book/show/28862.The_Prince
432,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire SÇ­enz,359,4.35,400814,United States,2012,None,None,"Young Adult, LGBT, Contemporary, ",https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe
433,Infinite Jest,David Foster Wallace,1088,4.26,81963,United States,1996,"TÇÏhtivaeltaja Award Nominee (2021), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)",0,"Fiction, ClassicsLiterature",https://www.goodreads.com/book/show/6759.Infinite_Jest
434,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,352,3.91,1114268,United States,2011,"Grand Prix de l'Imaginaire for Roman jeunesse Ç¸tranger (2015), Pennsylvania Young Readers' Choice Award for Young Adults (2014), California Young Readers Medal Nominee for Young Adult (2016), The Kitschies Nominee for Golden Tentacle (Debut) (2011), Goodreads Choice Award Nominee for Favorite Book and for Young Adult Fantasy & Science Fiction (2011)",1,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children
435,War and Peace,Leo Tolstoy,1392,4.14,291237,Russia,1869,No Award,0,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/656.War_and_Peace
436,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,1061,4.14,670032,None,2005,"Hugo Award Nominee for Best Novel (2006), Locus Award Nominee for Best Fantasy Novel (2006)",1,"Fantasy, Fiction, Fantasy > Epic Fantasy, ",https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
437,Snow Flower and the Secret Fan,Lisa See,288,4.08,356194,China,2005,"California Book Award for Fiction (Silver) (2005), Lincoln Award Nominee (2008), Asian/Pacific American Award for Literature for Adult Fiction Honor (2005)",0,"Historical > Historical Fiction, Fiction, Cultural > China",https://www.goodreads.com/book/show/40873273-snow-flower-and-the-secret-fan
438,The Grapes of Wrath,John Steinbeck,479,3.99,816034,United States,1939,"Pulitzer Prize for Novel (1940), National Book Award for Fiction (1939), California Book Award for General Literature (Silver) (1939), Audie Award for Classic (1999)",0,"Classics, Fiction, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath
439,"Matched (Matched, #1)",Ally Condie,369,3.64,714899,None,2010,"Whitney Award for Best Youth Speculative Fiction (2010), South Carolina Book Award for Young Adult (2013), Teen Buckeye Book Award (2012), Pennsylvania Young Readers' Choice Award for Young Adults (2012), Rhode Island Teen Book Award (2012)   California Young Readers Medal for Young Adult (2013), Lincoln Award Nominee (2013), AML Award for Young Adult Literature (2010), Literaturpreis der Jury der jungen Leser for Jugendbuch (2011), Carnegie Medal Nominee (2012), Missouri Gateway Readers Award Nominee (2013)",1,"Young Adult, Science Fiction > Dystopia, Romance, ",https://www.goodreads.com/book/show/7735333-matched
440,"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,351,4.16,122636,Mexico,1985,No Award,0,"Fiction, Historical > Historical Fiction, Westerns, ",https://www.goodreads.com/book/show/394535.Blood_Meridian_or_the_Evening_Redness_in_the_West
441,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,372,4,412841,France,2010,"Georgia Peach Book Award Nominee for Honor book (2012), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013), Milwaukee County Teen Book Award Nominee (2012), The Inky Awards Nominee for Silver Inky (2011), Lincoln Award Nominee (2013)   CYBILS Award Nominee for Young Adult Fiction (2011), Goodreads Choice Award Nominee for Goodreads Author, Young Adult Fiction  (2010)",1,"Romance, Young Adult, Contemporary, ",https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss
442,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,492,4.36,852514,None,2010,"Los Angeles Times Book Prize for Biography (2010), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2014), Indies Choice Book Award for Nonfiction (2011), Dayton Literary Peace Prize Nominee for Nonfiction (2011), Lincoln Award Nominee (2015)   Andrew Carnegie Medal Nominee for Nonfiction (2012), Goodreads Choice Award Nominee for History and Biography (2010)",0,"Nonfiction, History, Biography, ",https://www.goodreads.com/book/show/8664353-unbroken
443,"The Angel Experiment (Maximum Ride, #1)",James Patterson,445,4.07,216114,United States,2005,"Lincoln Award Nominee (2008), Missouri Gateway Readers Award Nominee (2008)",1,"Young Adult, Fantasy, Science Fiction, ",https://www.goodreads.com/book/show/13152.The_Angel_Experiment
444,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,389,3.83,181266,United States,1979,Books I Loved Best Yearly (BILBY) Awards for Secondary (1993),1,"Fiction, Horror, Young Adult",https://www.goodreads.com/book/show/43448.Flowers_in_the_Attic
445,"Faust, First Part",Johann Wolfgang von Goethe,327,3.9,65951,None,1808,No Award,1,"Classics, FictionPlays",https://www.goodreads.com/book/show/14706.Faust_First_Part
446,The Scarlet Pimpernel,Emmuska Orczy,182,4.06,129727,United Kingdom,1905,None,None,"Classics, Historical > Historical Fiction, Fiction, ",https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel
447,The Virgin Suicides,Jeffrey Eugenides,250,3.83,254193,United States,1993,No Award,0,"Fiction, ClassicsContemporary",https://www.goodreads.com/book/show/10956.The_Virgin_Suicides
448,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,565,4.46,407261,Rifthold,2014,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2014),1,"Fantasy, Young Adult, Romance, ",https://www.goodreads.com/book/show/20613470-heir-of-fire
449,The Chosen (Reuven Malther #1),Chaim Potok,304,4.05,89174,United States,1966,None,None,"Fiction, Classics, Historical > Historical Fiction",https://www.goodreads.com/book/show/187181.The_Chosen
450,"Pippi Longstocking (Pippi LÇ¾ngstrump, #1)",Astrid Lindgren,160,4.14,183282,Sweden,1945,Lewis Carroll Shelf Award (1973),1,"Classics, Childrens, Fiction, ",https://www.goodreads.com/book/show/19302.Pippi_Longstocking
451,Houdini Heart,Ki Longfellow,254,3.78,6791,None,2011,No Award,0,HorrorFantasyFiction,https://www.goodreads.com/book/show/11324204-houdini-heart
452,The Shipping News,Annie Proulx,337,3.87,136743,Canada,1993,"Pulitzer Prize for Fiction (1994), National Book Award for Fiction (1993), Irish Times International Fiction Prize (1993), Chicago Tribune Heartland Prize for Fiction (1993), National Book Critics Circle Award Nominee for Fiction (1993)",0,"Fiction, ContemporaryCultural > Canada",https://www.goodreads.com/book/show/7354.The_Shipping_News
453,Jonathan Strange & Mr Norrell,Susanna Clarke,1006,3.84,217527,United Kingdom,2004,"Hugo Award for Best Novel (2005), Booker Prize Nominee for Longlist (2004), Nebula Award Nominee for Best Novel (2005), Locus Award for Best First Novel and Nominee for Best Fantasy Novel (2005), Guardian First Book Award Nominee (2004)   World Fantasy Award for Best Novel (2005), Mythopoeic Fantasy Award for Adult Literature (2005), Book Sense Book of the Year Award for Adult Fiction (2005), British Fantasy Award Nominee for Best Novel (2005), Cena Akademie SFFH for Kniha roku (Book of the Year) (2007)",0,None,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
454,High Fidelity,Nick Hornby,340,3.92,185690,United Kingdom,1995,None,None,"Fiction, MusicContemporary",https://www.goodreads.com/book/show/285092.High_Fidelity
455,"The One (The Selection, #3)",Kiera Cass,323,4.18,523829,Illea,2014,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2014),1,"Young Adult, Romance, Science Fiction > Dystopia, ",https://www.goodreads.com/book/show/18635016-the-one
456,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,420,4.37,482269,Rifthold,2013,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013),1,"Fantasy, Young Adult, Romance, ",https://www.goodreads.com/book/show/17167166-crown-of-midnight
457,The Tales of Beedle the Bard,J.K. Rowling,109,4.05,451332,United Kingdom,2008,Locus Award Nominee for Art Book (2019),1,"Fantasy, Fiction, Young Adult, ",https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard
458,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,396,3.85,527943,Ireland,2001,"Garden State Book Award for Fiction (Grades 6-8) (2004), Massachusetts Children's Book Award (2003), Blue Hen Book Award for Chapter Book (2003), Rhode Island Teen Book Award Nominee (2002), Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2004)",1,"Fantasy, Young Adult, Fiction, ",https://www.goodreads.com/book/show/249747.Artemis_Fowl
459,"The Host (The Host, #1)",Stephenie Meyer,624,3.85,950503,United States,2008,No Award,1,"Young Adult, Science Fiction, Fantasy, ",https://www.goodreads.com/book/show/1656001.The_Host
460,Nineteen Minutes,Jodi Picoult,440,4.13,323030,United States,2007,"Iowa High School Book Award (2010), Lincoln Award Nominee (2010), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)",0,"Fiction, ContemporaryWomens Fiction > Chick Lit",https://www.goodreads.com/book/show/14866.Nineteen_Minutes
461,The Reader,Bernhard Schlink,216,3.77,186293,Germany,1995,"Los Angeles Times Book Prize Nominee for Fiction (1997), Exclusive Books Boeke Prize (1999), Prix des libraires du QuÇ¸bec for LaurÇ¸ats hors QuÇ¸bec (1997), Prix Laure Bataillon (1997), Premio Grinzane Cavour Nominee for Narrativa Straniera (1997)   ×?×¯×¯×ú×«×¨-×ü×æØ×¬×ñ×«×û×§Ø? ×?Ø×ñ×ý×æ×î×¨ ×?×æØ?×ªØ?Ø×ñØŸ×úØ? for ×?×ª×§Ø?×ý×¨Ø? ×?×¨Ø?×æØØ?×î (2000), International Dublin Literary Award Nominee for Shortlist (1999)",0,"Fiction, Historical > Historical Fiction, Classics",https://www.goodreads.com/book/show/101299.The_Reader
462,Shantaram,Gregory David Roberts,936,4.25,188749,India,2003,Commonwealth Writers' Prize Nominee for Best First Book (the Pacific Region) (2004),1,"Fiction, Cultural > IndiaTravel",https://www.goodreads.com/book/show/33600.Shantaram
463,Waiting for Godot,Samuel Beckett,109,3.83,177588,None,1952,No Award,0,"Plays, Classics, Fiction, ",https://www.goodreads.com/book/show/17716.Waiting_for_Godot
464,Northanger Abbey,Jane Austen,260,3.84,341264,United Kingdom,1817,No Award,0,"Classics, Fiction, Romance, ",https://www.goodreads.com/book/show/50398.Northanger_Abbey
465,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,447,3.99,593043,United States,2002,"International Horror Guild Award for Nonfiction (2003), Book Sense Book of the Year Award Nominee (2004), Great Lakes Book Award Nominee for Nonfiction Shortlist (2003), Edgar Award for Best Fact Crime (2004), Washington State Book Award (2004)   Pacific Northwest Booksellers Association Award (2004), National Book Award Finalist for Nonfiction (2003), CWA Gold Dagger Award (2003)",0,"Nonfiction, History, Crime > True Crime, ",https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City
466,Redeeming Love,Francine Rivers,479,4.5,252550,United States,1991,No Award,0,"Christian Fiction, Christian, Fiction, ",https://www.goodreads.com/book/show/11422.Redeeming_Love
467,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,289,4.27,465376,United States,1969,Coretta Scott King Book Award for Author Honor (1971),1,None,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
468,"Neuromancer (Sprawl, #1)",William Gibson,292,3.9,287961,Japan,1984,"Hugo Award for Best Novel (1985), Nebula Award for Best Novel (1984), Locus Award Nominee for Best First Novel and Best SF Novel (1985), British Science Fiction Association Award Nominee for Best Novel (1984), Philip K. Dick Award (1985)   John W. Campbell Memorial Award Nominee (1985), Ditmar Award for Best International Long Fiction (1985), SF Chronicle Award for Novel (1985), TÇÏhtivaeltaja Award (1992), Prix Aurora Award Nominee (1985), Seiun Award ‘??‚?ýŠü? for Best Translated Long Story (1987)",1,"Science Fiction, Fiction, Science Fiction > Cyberpunk, ",https://www.goodreads.com/book/show/6088007-neuromancer
469,The Age of Innocence,Edith Wharton,293,3.96,152205,United States,1920,Pulitzer Prize for Novel (1921),0,None,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence
470,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,509,3.73,564509,United States,2009,"Goodreads Choice Award Nominee for Favorite Book, Fiction & Mystery/Thriller (2009), LovelyBooks Leserpreis Nominee for Krimi (2009)",1,"Fiction, Mystery, Thriller, ",https://www.goodreads.com/book/show/6411961-the-lost-symbol
471,Coraline,Neil Gaiman,162,4.08,563332,United Kingdom,2002,"Bram Stoker Award for Best Work for Young Readers (2002), Hugo Award for Best Novella (2003), Nebula Award for Best Novella (2003), Locus Award for Best Young Adult Novel (2003), World Fantasy Award Nominee for Best Novella (2003)   Mythopoeic Fantasy Award Nominee for Children's Literature (2003), Vermont Golden Dome Book Award Nominee (2004), Child Magazine Best Book of the Year, Will Eisner Comic Industry Awards for Best Publication for Teens/Tweens (2009), Elizabeth Burr / Worzalla Award (2003), Premi Protagonista Jove Nominee for Categoria 13-14 anys (2004)",0,"Fantasy, Horror, Fiction, ",https://www.goodreads.com/book/show/17061.Coraline
472,"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,434,4.44,170635,United States,2006,"All About Romance (AAR) Annual Reader Poll for Best Romance & Best Paranormal & Most Tortured Hero & Strongest Heroine & Best Villain & Most-Hanky Read  & Honorable Mention for Best Couple (2007), Romantic Times Reviewers' Choice Award (RT Award) for Vampire Romance (2006)",1,"Romance, Fantasy > Paranormal, Paranormal > Vampires, ",https://www.goodreads.com/book/show/42900.Lover_Awakened
473,Dubliners,James Joyce,207,3.85,134671,Ireland,1914,No Award,0,"Classics, Fiction, Short Stories, ",https://www.goodreads.com/book/show/11012.Dubliners
474,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,248,4.09,428193,Narnia,1952,No Award,1,"Fantasy, Fiction, Classics, ",https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader
475,"Betrayed (House of Night, #2)",P.C. Cast,310,3.92,255110,United States,2007,No Award,1,"Young Adult, Paranormal > Vampires, Fantasy, ",https://www.goodreads.com/book/show/676924.Betrayed
476,Carrie,Stephen King,253,3.97,595883,United States,1974,No Award,0,"Horror, Fiction, Thriller, ",https://www.goodreads.com/book/show/10592.Carrie
477,"Red Queen (Red Queen, #1)",Victoria Aveyard,383,4.04,759951,None,2015,"Buxtehuder Bulle (2015), South Carolina Book Award for Young Adult (2017), California Young Readers Medal for Young Adult (2017), Lincoln Award (2017), Missouri Truman Readers Award Nominee (2018)   Goodreads Choice Award for Debut Goodreads Author, and Nominee for Young Adult Fantasy & Science Fiction (2015)",1,"Fantasy, Young Adult, Science Fiction > Dystopia, ",https://www.goodreads.com/book/show/22328546-red-queen
478,"I, Robot (Robot, #0.1)",Isaac Asimov,224,4.21,306926,None,1950,No Award,1,None,https://www.goodreads.com/book/show/41804.I_Robot
479,The Waste Land,T.S. Eliot,320,4.1,47932,None,1922,None,None,"Poetry, Classics, Fiction",https://www.goodreads.com/book/show/34080.The_Waste_Land
480,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,383,3.84,538109,United States,1996,"Orange Prize Nominee for Fiction Shortlist (2000), American Booksellers Book Of The Year  Award for Adult Trade (1999)",1,None,https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood
481,All the Bright Places,Jennifer Niven,378,4.15,422820,United States,2015,"South Carolina Book Award Nominee for Young Adult (2017), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2016), Rhode Island Teen Book Award Nominee (2017), Milwaukee County Teen Book Award Nominee (2016), Amelia Elizabeth Walden Award Nominee (2016)   Eliot Rosewater Indiana High School Book Award (2017), Dioraphte Jongerenliteratuurprijs for Vertaald boek (2016), Lincoln Award Nominee (2017), Goodreads Choice Award for Young Adult Fiction (2015) and Nominee for Best of the Best  (2018), Missouri Gateway Readers Award Nominee (2017)",0,"Young Adult, Contemporary, Romance, ",https://www.goodreads.com/book/show/18460392-all-the-bright-places
482,The Pearl,John Steinbeck,96,3.5,206051,Mexico,1945,No Award,0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/5308.The_Pearl
483,To the Lighthouse,Virginia Woolf,209,3.79,151564,United Kingdom,1925,Femina - Vie Heureuse Prize (1928),0,None,https://www.goodreads.com/book/show/59716.To_the_Lighthouse
484,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,1125,4.32,595876,None,2011,"Hugo Award Nominee for Best Novel (2012), Locus Award for Best Fantasy Novel (2012), World Fantasy Award Nominee for Best Novel (2012), SFX Award for Best Novel (2012), British Fantasy Award Nominee for Best Novel (2012)   Goodreads Choice Award for Fantasy and Nominee for Favorite Book (2011) and Nominee for Best of the Best  (2018)",1,"Fantasy, Fiction, Fantasy > Epic Fantasy, ",https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
485,"Untamed (House of Night, #4)",P.C. Cast,338,3.94,226680,United States,2008,No Award,1,"Young Adult, Paranormal > Vampires, Fantasy, ",https://www.goodreads.com/book/show/2866718-untamed
486,Everything Is Illuminated,Jonathan Safran Foer,276,3.89,172833,Ukraine,2002,"New York Public Library Young Lions Fiction Award (2003), Guardian First Book Award (2002), PEN/Robert W. Bingham Prize (2004), William Saroyan International Prize for Writing for Fiction (2003), Corine Internationaler Buchpreis for Rolf Heyne Buchpreis (2003)",0,"Fiction, Historical > Historical FictionContemporary",https://www.goodreads.com/book/show/256566.Everything_Is_Illuminated
487,"The Twilight Collection (Twilight, #1-3)",Stephenie Meyer,1690,3.8,44920,United States,2007,None,None,Young AdultFantasyParanormal > Vampires,https://www.goodreads.com/book/show/690926.The_Twilight_Collection
488,The Jungle,Upton Sinclair,335,3.76,135140,United States,1905,No Award,0,"Classics, Fiction, Historical > Historical Fiction",https://www.goodreads.com/book/show/41681.The_Jungle
489,"Voyager (Outlander, #3)",Diana Gabaldon,870,4.38,279635,France,1993,No Award,1,"Historical > Historical Fiction, Romance, Fantasy, ",https://www.goodreads.com/book/show/10987.Voyager
490,"I, Claudius (Claudius, #1)",Robert Graves,468,4.23,61574,Italy,1934,"James Tait Black Memorial Prize for Fiction (1934), Hawthornden Prize (1935), Audie Award for Audio Drama (2012)",1,"Historical > Historical Fiction, Fiction, Classics, ",https://www.goodreads.com/book/show/18765.I_Claudius
491,A Room with a View,E.M. Forster,119,3.91,163764,United Kingdom,1908,None,None,"Classics, Fiction, Romance, ",https://www.goodreads.com/book/show/3087.A_Room_with_a_View
492,Me Talk Pretty One Day,David Sedaris,272,3.99,658379,France,2000,"Lambda Literary Award for Humor (2001), Puddly Award for Humor (2001), Thurber Prize for American Humor (2001)",0,"Nonfiction, Humor, Autobiography > Memoir, ",https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day
493,Pet Sematary,Stephen King,580,4.03,487770,United States,1983,"Locus Award Nominee for Best Fantasy Novel (1984), World Fantasy Award Nominee for Best Novel (1984)",0,"Horror, Fiction, Thriller",https://www.goodreads.com/book/show/33124137-pet-sematary
494,Snow Falling on Cedars,David Guterson,460,3.85,176620,United States,1994,"Anthony Award Nominee for Best First Novel (1995), PEN/Faulkner Award for Fiction (1995), American Booksellers Book Of The Year  Award for Adult Trade (1996), Martin Beck Award (1996), Barnes and Noble Discover Great New Writers Award (1994)",0,"Fiction, Historical > Historical Fiction, Mystery",https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars
495,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,457,4.02,425589,United States,2013,"Georgia Peach Book Award Nominee for Honor book (2014), South Carolina Book Award for Young Adult (2016), Keystone to Reading Book Award Nominee for High School (2015), Evergreen Teen Book Award (2016), Milwaukee County Teen Book Award Nominee (2014)   The Inky Awards Nominee for Silver Inky (2013), Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Best Young Adult Fantasy & Science Fiction (2013), Carnegie Medal Nominee (2014), Green Mountain Book Award Nominee (2015), Louisiana Teen Readers' Choice (2016), Missouri Gateway Readers Award (2016), Oklahoma Sequoyah Award for High School (2016), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2013)",1,"Young Adult, Science Fiction, Science Fiction > Dystopia, ",https://www.goodreads.com/book/show/16101128-the-5th-wave
496,We Were Liars,E. Lockhart,242,3.77,772823,United States,2014,"Georgia Peach Book Award (2015), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2016), Rhode Island Teen Book Award Nominee (2016), Milwaukee County Teen Book Award Nominee (2015), The Inky Awards Nominee for Silver Inky (2015)   Lincoln Award (2016), Bookworm Best Award for Best Fiction (2014), Goodreads Choice Award for Young Adult Fiction (2014), The Magnolia Award for 9-12 (2016)",1,"Young Adult, Contemporary, Mystery, ",https://www.goodreads.com/book/show/16143347-we-were-liars
497,Bleak House,Charles Dickens,1017,4,103270,United Kingdom,1853,No Award,0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/31242.Bleak_House
498,"Chosen (House of Night, #3)",P.C. Cast,307,3.91,233141,None,1956,No Award,1,"Young Adult, Paranormal > Vampires, Fantasy, ",https://www.goodreads.com/book/show/1326258.Chosen
499,"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,288,4.01,246383,Narnia,1956,"Audie Award for Inspirational/Faith-Based Fiction (2005), Carnegie Medal (1956)",1,"Fantasy, Fiction, Classics, ",https://www.goodreads.com/book/show/84369.The_Last_Battle
500,The Exorcist,William Peter Blatty,385,4.19,201455,United States,1971,Audie Award for Narration by the Author or Authors (2000),1,"Horror, Fiction, Classics",https://www.goodreads.com/book/show/179780.The_Exorcist
501,The Elephant Tree,R.D. Ronald,252,4.09,49506,None,2010,No Award,0,FictionThrillerMystery,https://www.goodreads.com/book/show/9293020-the-elephant-tree
502,The Republic,Plato,416,3.95,184443,None,2003,None,None,None,https://www.goodreads.com/book/show/30289.The_Republic
503,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,385,4.54,758921,None,1955,No Award,1,"Fantasy, Fiction, Classics, ",https://www.goodreads.com/book/show/838729.The_Return_of_the_King
504,Of Human Bondage,W. Somerset Maugham,684,4.12,53080,United Kingdom,1915,No Award,0,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/31548.Of_Human_Bondage
505,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,541,4.29,879169,United State,2009,"Children's Choice Book Award Nominee for Teen Choice Book of the Year (2010), Goodreads Choice Award Nominee for Favorite Book & Young Adult Series (2009), LovelyBooks Leserpreis for Fantasy (2009)",1,"Fantasy > Paranormal, Fantasy > Urban Fantasy, Fiction, ",https://www.goodreads.com/book/show/3777732-city-of-glass
506,"Bloodlines (Bloodlines, #1)",Richelle Mead,421,4.19,180103,United State,2011,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book and for Goodreads Author (2011),1,"Young Adult, Paranormal > Vampires, Fantasy, ",https://www.goodreads.com/book/show/8709527-bloodlines
507,"The Iron King (The Iron Fey, #1)",Julie Kagawa,363,3.89,206201,United State,2010,"RITA Award by Romance Writers of America for Best Young Adult Romance & Nominee for First Book (2011), Goodreads Choice Award Nominee for Young Adult Fantasy, Debut Author, Goodreads Author (2010)",1,None,https://www.goodreads.com/book/show/6644117-the-iron-king
508,Persuasion,Jane Austen,249,4.14,584081,United Kingdom,1817,No Award,0,"Classics, Fiction, Romance, ",https://www.goodreads.com/book/show/2156.Persuasion
509,World War Z: An Oral History of the Zombie War,Max Brooks,342,4.01,478613,None,2006,"Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award ‘??‚?ýŠü? Nominee for Best Translated Long Form (2011)",1,"Horror, Fiction, Horror > Zombies, ",https://www.goodreads.com/book/show/8908.World_War_Z
